angle,tof,timestamp
0,1684,2025-07-23 10:18:09.732818
0,2131,2025-07-23 10:18:09.796115
0,2048,2025-07-23 10:18:09.858103
0,681,2025-07-23 10:18:09.920382
0,584,2025-07-23 10:18:09.982537
0,554,2025-07-23 10:18:10.045455
0,2139,2025-07-23 10:18:10.107608
0,2104,2025-07-23 10:18:10.170296
0,2104,2025-07-23 10:18:10.231933
0,2017,2025-07-23 10:18:10.293884
0,2130,2025-07-23 10:18:10.355926
0,2060,2025-07-23 10:18:10.418313
0,573,2025-07-23 10:18:10.480003
0,555,2025-07-23 10:18:10.542486
0,570,2025-07-23 10:18:10.604702
0,2161,2025-07-23 10:18:10.666886
0,2167,2025-07-23 10:18:10.728341
0,2164,2025-07-23 10:18:10.790446
0,697,2025-07-23 10:18:10.853266
0,607,2025-07-23 10:18:10.914541
0,591,2025-07-23 10:18:10.976987
0,612,2025-07-23 10:18:11.039602
0,2121,2025-07-23 10:18:11.100250
0,2061,2025-07-23 10:18:11.160747
0,1971,2025-07-23 10:18:11.223221
0,1998,2025-07-23 10:18:11.285278
0,2112,2025-07-23 10:18:11.346978
0,2118,2025-07-23 10:18:11.409619
0,607,2025-07-23 10:18:11.471219
0,592,2025-07-23 10:18:11.532567
0,586,2025-07-23 10:18:11.594745
0,624,2025-07-23 10:18:11.655695
0,1448,2025-07-23 10:18:11.717225
0,1471,2025-07-23 10:18:11.779383
0,742,2025-07-23 10:18:11.842052
0,639,2025-07-23 10:18:11.904323
0,614,2025-07-23 10:18:11.966054
0,648,2025-07-23 10:18:12.028245
0,2013,2025-07-23 10:18:12.089859
0,2150,2025-07-23 10:18:12.151257
0,2152,2025-07-23 10:18:12.213337
0,2130,2025-07-23 10:18:12.275404
0,1668,2025-07-23 10:18:12.337586
0,634,2025-07-23 10:18:12.400722
0,603,2025-07-23 10:18:12.462696
0,577,2025-07-23 10:18:12.524663
0,2009,2025-07-23 10:18:12.587060
0,2185,2025-07-23 10:18:12.648010
0,2208,2025-07-23 10:18:12.710742
0,2203,2025-07-23 10:18:12.771997
0,697,2025-07-23 10:18:12.834128
0,628,2025-07-23 10:18:12.896837
0,610,2025-07-23 10:18:12.958109
0,645,2025-07-23 10:18:13.019489
0,2207,2025-07-23 10:18:13.080985
0,2183,2025-07-23 10:18:13.142894
0,2180,2025-07-23 10:18:13.205887
0,2187,2025-07-23 10:18:13.267722
0,2197,2025-07-23 10:18:13.330513
0,792,2025-07-23 10:18:13.392436
0,631,2025-07-23 10:18:13.453935
0,615,2025-07-23 10:18:13.515519
0,635,2025-07-23 10:18:13.576800
0,1087,2025-07-23 10:18:13.638213
0,2155,2025-07-23 10:18:13.699545
0,1911,2025-07-23 10:18:13.761320
0,1147,2025-07-23 10:18:13.823085
0,1038,2025-07-23 10:18:13.886324
0,619,2025-07-23 10:18:13.948615
0,672,2025-07-23 10:18:14.010405
0,2192,2025-07-23 10:18:14.073786
0,2207,2025-07-23 10:18:14.135334
